gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season
20140904_GB@SEA,2,6,43,SEA,GB,1,10,30,(6:43) 3-R.WILSON PASS DEEP RIGHT TO 86-Z.MILLER TO GB 46 FOR 24 YARDS (38-T.WILLIAMS).,0,0,2014
20140904_GB@SEA,2,6,11,SEA,GB,1,10,54,"(6:11) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS INCOMPLETE DEEP RIGHT.",0,0,2014
20140904_GB@SEA,2,6,9,SEA,GB,2,10,54,"(6:09) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 11-P.HARVIN TO GB 48 FOR -2 YARDS (56-J.PEPPERS). PENALTY ON GB-56-J.PEPPERS, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT GB 46 - NO PLAY.",0,0,2014
20140904_GB@SEA,2,5,47,SEA,GB,2,5,59,"(5:47) 24-M.LYNCH LEFT END TO GB 20 FOR 21 YARDS (42-M.BURNETT, 95-D.JONES).",0,0,2014
20140904_GB@SEA,2,5,3,SEA,GB,1,10,80,(5:03) (SHOTGUN) 11-P.HARVIN RIGHT END TO GB 11 FOR 9 YARDS (96-M.NEAL).,0,0,2014
20140904_GB@SEA,2,4,24,SEA,GB,2,1,89,(4:24) 24-M.LYNCH LEFT GUARD TO GB 9 FOR 2 YARDS (42-M.BURNETT; 59-B.JONES).,0,0,2014
20140904_GB@SEA,2,3,46,SEA,GB,1,9,91,"(3:46) (SHOTGUN) 24-M.LYNCH UP THE MIDDLE FOR 9 YARDS, TOUCHDOWN.",0,0,2014
20140904_GB@SEA,2,3,41,SEA,GB,0,0,98,"4-S.HAUSCHKA EXTRA POINT IS GOOD, CENTER-49-C.GRESHAM, HOLDER-9-J.RYAN.",0,0,2014
20140904_GB@SEA,2,3,41,SEA,GB,0,0,35,"4-S.HAUSCHKA KICKS 65 YARDS FROM SEA 35 TO END ZONE, TOUCHBACK.",0,0,2014
20140904_GB@SEA,2,3,41,GB,SEA,1,10,20,(3:41) 12-A.RODGERS PASS SHORT MIDDLE TO 81-A.QUARLESS TO GB 38 FOR 18 YARDS (54-B.WAGNER; 31-K.CHANCELLOR).,0,0,2014
20140904_GB@SEA,2,3,4,GB,SEA,1,10,38,(3:04) (SHOTGUN) 27-E.LACY LEFT TACKLE TO GB 38 FOR NO GAIN (54-B.WAGNER).,0,0,2014
20140904_GB@SEA,2,2,17,GB,SEA,2,10,38,(2:17) (SHOTGUN) 12-A.RODGERS PASS SHORT MIDDLE TO 44-J.STARKS TO GB 49 FOR 11 YARDS (50-K.WRIGHT).,0,0,2014
20140904_GB@SEA,2,2,0,GB,SEA,1,10,49,(2:00) (SHOTGUN) 12-A.RODGERS PASS SHORT RIGHT TO 81-A.QUARLESS TO SEA 45 FOR 6 YARDS (31-K.CHANCELLOR).,0,0,2014
20140904_GB@SEA,2,1,33,GB,SEA,2,4,55,(1:33) (SHOTGUN) 12-A.RODGERS PASS SHORT RIGHT TO 44-J.STARKS PUSHED OB AT SEA 45 FOR NO GAIN (54-B.WAGNER).,0,0,2014
20140904_GB@SEA,2,1,27,GB,SEA,3,4,55,(1:27) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE SHORT LEFT TO 87-J.NELSON [72-M.BENNETT].,0,0,2014
20140904_GB@SEA,2,1,21,GB,SEA,4,4,55,"(1:21) 8-T.MASTHAY PUNTS 27 YARDS TO SEA 18, CENTER-61-B.GOODE, DOWNED BY GB-30-J.KUHN.",0,0,2014
20140904_GB@SEA,2,1,6,SEA,GB,1,10,18,(1:06) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 89-D.BALDWIN TO SEA 22 FOR 4 YARDS (95-D.JONES).,0,0,2014
20140904_GB@SEA,2,0,43,SEA,GB,2,6,22,"(:43) (NO HUDDLE, SHOTGUN) 3-R.WILSON SACKED AT SEA 11 FOR -11 YARDS (SACK SPLIT BY 52-C.MATTHEWS AND 56-J.PEPPERS). PENALTY ON GB-59-B.JONES, ILLEGAL CONTACT, 5 YARDS, ENFORCED AT SEA 22 - NO PLAY.",0,0,2014
20140904_GB@SEA,2,0,35,SEA,GB,1,10,27,(:35) (SHOTGUN) 22-R.TURBIN RIGHT TACKLE TO SEA 34 FOR 7 YARDS (42-M.BURNETT).,0,0,2014
20140904_GB@SEA,2,0,27,SEA,GB,2,3,34,(:27) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE DEEP LEFT TO 89-D.BALDWIN (21-H.CLINTON-DIX).,0,0,2014
20140904_GB@SEA,2,0,19,SEA,GB,3,3,34,(:19) (SHOTGUN) 22-R.TURBIN RIGHT GUARD TO SEA 41 FOR 7 YARDS (33-M.HYDE).,0,0,2014
20140904_GB@SEA,2,0,14,SEA,GB,1,10,41,(:14) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT.,0,0,2014
20140904_GB@SEA,2,0,10,SEA,GB,2,10,41,(:10) (SHOTGUN) 3-R.WILSON SCRAMBLES UP THE MIDDLE TO SEA 46 FOR 5 YARDS (95-D.JONES).,0,0,2014
20140904_GB@SEA,3,15,0,GB,SEA,0,0,35,2-M.CROSBY KICKS 73 YARDS FROM GB 35 TO SEA -8. 11-P.HARVIN TO SEA 14 FOR 22 YARDS (24-J.BUSH).,0,0,2014
20140904_GB@SEA,3,14,55,SEA,GB,1,10,14,(14:55) (SHOTGUN) 24-M.LYNCH UP THE MIDDLE TO SEA 28 FOR 14 YARDS (29-C.HAYWARD; 21-H.CLINTON-DIX).,0,0,2014
20140904_GB@SEA,3,14,17,SEA,GB,1,10,28,(14:17) 24-M.LYNCH RIGHT END PUSHED OB AT SEA 37 FOR 9 YARDS (56-J.PEPPERS).,0,0,2014
20140904_GB@SEA,3,13,48,SEA,GB,2,1,37,(13:48) (SHOTGUN) 22-R.TURBIN LEFT TACKLE TO SEA 41 FOR 4 YARDS (50-A.HAWK; 42-M.BURNETT).,0,0,2014
20140904_GB@SEA,3,13,5,SEA,GB,1,10,41,(13:05) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE DEEP RIGHT TO 15-J.KEARSE [56-J.PEPPERS].,0,0,2014
20140904_GB@SEA,3,13,0,SEA,GB,2,10,41,(13:00) 3-R.WILSON PASS INCOMPLETE DEEP LEFT TO 83-R.LOCKETTE.,0,0,2014
20140904_GB@SEA,3,12,54,SEA,GB,3,10,41,(12:54) (SHOTGUN) 3-R.WILSON PASS SHORT MIDDLE TO 89-D.BALDWIN TO SEA 47 FOR 6 YARDS (37-S.SHIELDS).,0,0,2014
20140904_GB@SEA,3,12,13,SEA,GB,4,4,47,"(12:13) 9-J.RYAN PUNTS 39 YARDS TO GB 14, CENTER-49-C.GRESHAM, FAIR CATCH BY 18-R.COBB.",0,0,2014
20140904_GB@SEA,3,12,6,GB,SEA,1,10,14,(12:06) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT INTENDED FOR 87-J.NELSON INTERCEPTED BY 41-B.MAXWELL AT GB 29. 41-B.MAXWELL TO GB 8 FOR 21 YARDS (63-C.LINSLEY).,0,0,2014
20140904_GB@SEA,3,11,54,SEA,GB,1,8,92,(11:54) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT TO 15-J.KEARSE.,0,0,2014
20140904_GB@SEA,3,11,50,SEA,GB,2,8,92,(11:50) 24-M.LYNCH LEFT TACKLE TO GB 3 FOR 5 YARDS (59-B.JONES; 50-A.HAWK).,0,0,2014
20140904_GB@SEA,3,11,10,SEA,GB,3,3,97,(11:10) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 11-P.HARVIN TO GB 2 FOR 1 YARD (33-M.HYDE).,0,0,2014
20140904_GB@SEA,3,10,32,SEA,GB,4,2,98,"(10:32) 4-S.HAUSCHKA 20 YARD FIELD GOAL IS GOOD, CENTER-49-C.GRESHAM, HOLDER-9-J.RYAN.",0,0,2014
20140904_GB@SEA,3,10,28,SEA,GB,0,0,35,"4-S.HAUSCHKA KICKS 65 YARDS FROM SEA 35 TO END ZONE, TOUCHBACK.",0,0,2014
20140904_GB@SEA,3,10,28,GB,SEA,1,10,20,(10:28) 27-E.LACY LEFT END PUSHED OB AT GB 22 FOR 2 YARDS (31-K.CHANCELLOR).,0,0,2014
20140904_GB@SEA,3,10,3,GB,SEA,2,8,22,(10:03) (SHOTGUN) 27-E.LACY UP THE MIDDLE TO GB 24 FOR 2 YARDS (56-C.AVRIL).,0,0,2014
20140904_GB@SEA,3,9,26,GB,SEA,3,6,24,(9:26) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 87-J.NELSON RAN OB AT GB 33 FOR 9 YARDS.,0,0,2014
20140904_GB@SEA,3,9,7,GB,SEA,1,10,33,(9:07) 27-E.LACY RIGHT END TO GB 31 FOR -2 YARDS (54-B.WAGNER).,0,0,2014
20140904_GB@SEA,3,8,23,GB,SEA,2,12,31,(8:23) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE DEEP LEFT TO 18-R.COBB.,0,0,2014
20140904_GB@SEA,3,8,17,GB,SEA,3,12,31,(8:17) (SHOTGUN) 12-A.RODGERS PASS DEEP MIDDLE TO 18-R.COBB TO SEA 46 FOR 23 YARDS (54-B.WAGNER).,0,0,2014
20140904_GB@SEA,3,7,44,GB,SEA,1,10,54,(7:44) 12-A.RODGERS PASS SHORT LEFT TO 87-J.NELSON PUSHED OB AT SEA 41 FOR 5 YARDS (41-B.MAXWELL).,0,0,2014
20140904_GB@SEA,3,7,19,GB,SEA,2,5,59,(7:19) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE SHORT RIGHT TO 44-J.STARKS (94-K.WILLIAMS).,0,0,2014
20140904_GB@SEA,3,7,15,GB,SEA,3,5,59,(7:15) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE DEEP LEFT TO 87-J.NELSON (41-B.MAXWELL).,0,0,2014
20140904_GB@SEA,3,7,6,GB,SEA,4,5,59,(7:06) (SHOTGUN) 12-A.RODGERS SACKED AT SEA 45 FOR -4 YARDS (56-C.AVRIL).,0,0,2014
20140904_GB@SEA,3,7,1,SEA,GB,1,10,45,(7:01) (SHOTGUN) 11-P.HARVIN RIGHT END TO GB 39 FOR 16 YARDS (59-B.JONES).,0,0,2014
20140904_GB@SEA,3,6,23,SEA,GB,1,10,61,(6:23) 24-M.LYNCH RIGHT END TO GB 38 FOR 1 YARD (53-N.PERRY; 76-M.DANIELS).,0,0,2014
20140904_GB@SEA,3,5,46,SEA,GB,2,9,62,(5:46) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT TO 89-D.BALDWIN (38-T.WILLIAMS).,0,0,2014
20140904_GB@SEA,3,5,41,SEA,GB,3,9,62,(5:41) (SHOTGUN) 24-M.LYNCH LEFT END TO GB 37 FOR 1 YARD (21-H.CLINTON-DIX).,0,0,2014
20140904_GB@SEA,3,5,2,SEA,GB,4,8,63,"(5:02) 9-J.RYAN PUNTS 27 YARDS TO GB 10, CENTER-49-C.GRESHAM, FAIR CATCH BY 18-R.COBB.",0,0,2014
20140904_GB@SEA,3,4,53,GB,SEA,1,10,10,"(4:53) (SHOTGUN) 12-A.RODGERS SACKED AT GB 3 FOR -7 YARDS (72-M.BENNETT). FUMBLES (72-M.BENNETT) [72-M.BENNETT], RECOVERED BY GB-78-D.SHERROD AT GB 0. 78-D.SHERROD TACKLED IN END ZONE, SAFETY (99-T.MCDANIEL). PENALTY ON GB-69-D.BAKHTIARI, UNSPORTSMANLIKE CONDUCT, 10 YARDS, ENFORCED BETWEEN DOWNS.",0,0,2014
20140904_GB@SEA,3,4,42,GB,SEA,0,0,10,8-T.MASTHAY KICKS 50 YARDS FROM GB 10 TO SEA 40. 11-P.HARVIN TO SEA 47 FOR 7 YARDS (28-S.RICHARDSON; 24-J.BUSH).,0,0,2014
20140904_GB@SEA,3,4,39,SEA,GB,1,10,47,(4:39) (SHOTGUN) 3-R.WILSON PASS SHORT MIDDLE TO 86-Z.MILLER TO GB 44 FOR 9 YARDS (59-B.JONES; 29-C.HAYWARD).,0,0,2014
